County,Supervisor,Attorney,Auditor,Recorder,Sheriff,Treasurer,Population
Adair,"27,608","69,861","56,080","56,080","74,317","56,080","7,152"
Adams,"20,835","106,791","54,959","54,959","68,815","54,959","3,602"
Allamakee,"29,483","92,643","60,280","60,280","78,440","60,280","13,687"
Appanoose,"30,783","100,687","59,303","59,303","83,970","59,303","12,426"
Audubon,"30,515","89,890","55,361","52,111","70,440","52,189","5,496"
Benton,"42,617","112,547","78,836","74,556","93,434","74,556","25,645"
Black Hawk,"40,455","136,521","86,446","86,321","117,357","86,321","131,228"
Boone,"38,054","121,513","66,452","66,452","90,605","66,452","26,234"
Bremer,"38,318","118,019","70,298","70,298","103,670","70,298","25,062"
Buchanan,"38,648","103,705","67,634","65,521","87,977","65,521","21,175"
Buena Vista,"32,872","117,300","65,319","65,319","89,428","65,319","19,620"
Butler,"31,810","70,402","62,538","62,538","83,242","62,538","14,439"
Calhoun,"39,912","95,015","58,813","58,813","84,277","58,813","9,668"
Carroll,"32,632","77,784","72,932","65,766","90,643","70,260","20,165"
Cass,"31,181","118,105","62,281","62,281","81,700","62,281","12,836"
Cedar,"27,069","99,613","63,257","63,030","84,827","63,025","18,627"
Cerro Gordo,"52,460","130,254","85,263","80,263","109,031","80,263","42,450"
Cherokee,"29,200","106,750","64,750","64,750","83,500","64,750","11,235"
Chickasaw,"28,869","105,743","62,295","62,287","83,871","62,871","11,933"
Clarke,"32,104","108,024","60,682","60,637","78,668","60,682","9,395"
Clay,"30,297","103,406","66,834","66,191","90,353","66,191","16,016"
Clayton,"32,629","74,382","59,839","59,839","76,435","59,839","17,549"
Clinton,"41,370","131,539","79,751","76,901","109,985","79,275","46,429"
Crawford,"28,555","115,703","59,472","59,472","77,118","59,472","16,820"
Dallas,"61,137","146,666","92,647","92,647","134,915","92,647","93,453"
Davis,"35,606","64,327","53,441","53,441","69,600","53,441","9,000"
Decatur,"30,591","105,163","50,194","50,194","64,375","50,194","7,870"
Delaware,"38,224","100,795","71,382","66,770","87,116","66,770","17,011"
Des Moines,"37,868","114,066","71,114","69,991","94,790","70,452","38,967"
Dickinson,"38,446","107,776","73,145","72,025","91,668","72,026","17,258"
Dubuque,"51,927","134,719","83,731","81,388","115,210","82,563","97,311"
Emmet,"30,290","83,441","58,077","58,077","76,339","58,077","9,208"
Fayette,"36,210","79,230","61,417","61,417","89,409","61,417","19,650"
Floyd,"40,098","106,971","68,810","68,586","91,229","68,586","15,642"
Franklin,"39,133","96,720","66,200","63,550","85,660","63,550","10,070"
Fremont,"31,309","44,192","54,187","54,187","69,750","54,187","6,960"
Greene,"29,667","104,432","64,870","62,832","81,029","62,707","8,888"
Grundy,"28,136","66,842","62,417","62,417","88,081","62,417","12,232"
Guthrie,"27,494","89,859","57,265","56,621","75,128","56,618","10,689"
Hamilton,"44,259","84,593","70,668","64,921","90,490","65,675","14,773"
Hancock,"36,379","110,907","68,642","67,793","91,681","68,359","10,630"
Hardin,"72,798","100,851","65,450","63,069","91,504","65,059","16,846"
Harrison,"36,634","77,118","63,492","63,492","83,107","63,492","14,049"
Henry,"36,708","102,668","65,807","65,807","88,634","65,807","19,954"
Howard,"32,888","91,881","61,372","61,372","85,552","61,372","9,158"
Humboldt,"34,068","103,128","61,583","61,583","85,101","61,583","9,558"
Ida,"28,046","51,774","51,816","51,626","66,111","51,816","6,860"
Iowa,"35,596","84,544","62,619","62,619","84,544","62,619","16,184"
Jackson,"38,323","100,552","65,668","65,668","84,405","65,668","19,439"
Jasper,"42,020","125,045","78,078","78,078","115,187","78,078","37,185"
Jefferson,"38,395","98,687","63,664","63,269","83,946","63,334","18,295"
Johnson,"84,835","155,905","113,114","113,114","158,552","113,114","151,140"
Jones,"30,901","106,531","71,054","66,475","91,678","68,915","20,681"
Keokuk,"30,038","82,468","53,402","52,402","67,035","52,402","10,246"
Kossuth,"38,006","99,472","71,718","68,139","88,699","68,653","14,813"
Lee,"26,012","112,446","68,378","67,532","88,511","67,868","33,657"
Linn,"118,741","189,762","118,741","118,741","163,914","118,741","226,706"
Louisa,"28,346","67,078","54,034","54,034","76,199","54,034","11,035"
Lucas,"28,373","62,914","53,426","53,426","72,304","53,426","8,600"
Lyon,"26,666","101,684","63,684","63,684","90,615","63,684","11,755"
Madison,"36,383","109,944","65,317","64,087","87,020","64,547","16,338"
Mahaska,"35,130","100,600","62,170","60,260","81,640","60,990","22,095"
Marion,"40,818","122,132","75,491","72,721","99,394","74,334","33,253"
Marshall,"38,487","109,780","74,633",,"93,005","64,250","39,369"
Mills,"35,306","97,420","62,781","61,723","80,240","61,723","15,109"
Mitchell,"40,874","75,052","62,353","62,353","88,770","62,353","10,586"
Monona,"29,054","101,257","59,218","53,949","74,254","55,320","8,615"
Monroe,"33,305","68,730","57,669","57,669","67,276","57,669","7,707"
Montgomery,"24,988","58,306","58,306","58,306","77,002","58,306","9,917"
Muscatine,"29,304","141,166","75,717","75,717","114,608","75,717","42,664"
Obrien,"29,878","101,092","66,446","66,446","90,549","66,446","13,753"
Osceola,"23,649","89,764","55,235","55,235","79,538","55,235","5,958"
Page,"36,752","92,718","64,077","63,611","81,269","63,611","15,107"
Palo Alto,"28,977","90,233","62,091","62,091","84,042","62,019","8,886"
Pocahontas,"30,500","86,000","62,000","61,000","84,000","61,000","6,619"
Polk,"126,421","212,991","126,421","126,421","177,232","126,421","490,161"
Pottawattamie,"47,996","143,488","88,359","88,359","137,314","88,359","93,206"
Poweshiek,"33,348","92,642","61,468","61,205","81,622","61,468","18,504"
Ringgold,"30,750","48,192","48,108","48,108","70,968","48,108","4,894"
Sac,"32,712","103,545","64,109","59,963","81,175","59,963","9,721"
Scott,"44,100","150,440","90,949","90,949","122,920","90,949","172,943"
Shelby,"32,048","65,976","59,298","60,026","79,679","60,234","11,454"
Sioux,"38,331","128,010","78,195","76,011","100,403","76,011","34,855"
Story,"82,665","147,125","85,971","85,971","150,171","85,971","97,117"
Tama,"31,730","91,605","60,452","60,287","77,229","60,370","16,854"
Taylor,"22,790","66,072","50,660","50,660","66,036","50,660","6,121"
Union,"28,701","107,723","60,266","60,266","80,559","60,266","12,241"
Van Buren,"29,484","51,797","59,093","52,597","68,741","52,137","7,044"
Wapello,"35,853","89,396","58,229","57,447","75,915","57,807","34,969"
Warren,"36,914","126,539","73,961","73,961","105,856","75,034","51,466"
Washington,"38,493","121,900","77,088","73,226","100,238","74,286","21,965"
Wayne,"30,423","48,661","52,349","52,349","66,342","52,349","6,441"
Webster,"40,180","123,000","71,750","71,750","98,400","71,750","35,904"
Winnebago,"33,911","101,179","62,706","62,205","81,319","62,205","10,354"
Winneshiek,"37,314","81,235","69,658","67,420","92,981","68,859","19,991"
Woodbury,"36,049","136,594","93,867",,"115,213","93,865","103,107"
Worth,"30,752","86,240","58,747","58,747","75,173","58,747","7,381"
Wright,"39,464","87,598","65,204","65,204","86,600","65,204","12,562"